,census_area,Rebate_dol,Fuel_Esc_Rate,Temp_Projection,NPV_weighted2,CO2_lbs_saved_weighted2,CO2_driving_miles_saved_weighted2,Heating_Days_Above5_weighted2,Heating_Days_Below5_weighted2,Heating_Days_Covered
308,Kenai Peninsula Borough,2000,0.03,3.0,-650.6661990702024,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
309,Kenai Peninsula Borough,2000,0.06,0.0,-637.373543566569,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
310,Kenai Peninsula Borough,2000,0.06,1.5,-499.16952889678464,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
311,Kenai Peninsula Borough,2000,0.06,3.0,-392.0619573414467,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
312,Kenai Peninsula Borough,2000,0.09,0.0,-364.13402436036154,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
313,Kenai Peninsula Borough,2000,0.09,1.5,-196.6748499518775,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
314,Kenai Peninsula Borough,2000,0.09,3.0,-66.89464386734403,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
315,Kenai Peninsula Borough,4000,0.03,0.0,1040.0695104395368,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
316,Kenai Peninsula Borough,4000,0.03,1.5,1155.0070155698177,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
317,Kenai Peninsula Borough,4000,0.03,3.0,1244.0831331091522,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
318,Kenai Peninsula Borough,4000,0.06,0.0,1257.3757886127837,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
319,Kenai Peninsula Borough,4000,0.06,1.5,1395.57980328257,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
320,Kenai Peninsula Borough,4000,0.06,3.0,1502.6873748379062,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
321,Kenai Peninsula Borough,4000,0.09,0.0,1530.615307818993,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
322,Kenai Peninsula Borough,4000,0.09,1.5,1698.0744822274771,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
323,Kenai Peninsula Borough,4000,0.09,3.0,1827.8546883120089,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
324,Ketchikan Gateway Borough,0,0.03,0.0,12566.34067161266,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
325,Ketchikan Gateway Borough,0,0.03,1.5,11451.572092737117,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
326,Ketchikan Gateway Borough,0,0.03,3.0,10441.90656924598,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
327,Ketchikan Gateway Borough,0,0.06,0.0,15902.051625929062,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
328,Ketchikan Gateway Borough,0,0.06,1.5,14561.623252669197,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
329,Ketchikan Gateway Borough,0,0.06,3.0,13347.573681452417,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
330,Ketchikan Gateway Borough,0,0.09,0.0,20096.353166732417,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
331,Ketchikan Gateway Borough,0,0.09,1.5,18472.18161660682,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
332,Ketchikan Gateway Borough,0,0.09,3.0,17001.140855796104,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
333,Ketchikan Gateway Borough,2000,0.03,0.0,14522.444350542426,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
334,Ketchikan Gateway Borough,2000,0.03,1.5,13407.67577166688,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
335,Ketchikan Gateway Borough,2000,0.03,3.0,12398.010248175748,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
336,Ketchikan Gateway Borough,2000,0.06,0.0,17858.15530485883,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
337,Ketchikan Gateway Borough,2000,0.06,1.5,16517.726931598958,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
338,Ketchikan Gateway Borough,2000,0.06,3.0,15303.677360382182,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
339,Ketchikan Gateway Borough,2000,0.09,0.0,22052.456845662186,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
340,Ketchikan Gateway Borough,2000,0.09,1.5,20428.28529553659,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
341,Ketchikan Gateway Borough,2000,0.09,3.0,18957.244534725873,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
342,Ketchikan Gateway Borough,4000,0.03,0.0,16478.548029472193,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
343,Ketchikan Gateway Borough,4000,0.03,1.5,15363.779450596647,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
344,Ketchikan Gateway Borough,4000,0.03,3.0,14354.11392710551,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
345,Ketchikan Gateway Borough,4000,0.06,0.0,19814.258983788593,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
346,Ketchikan Gateway Borough,4000,0.06,1.5,18473.830610528727,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
347,Ketchikan Gateway Borough,4000,0.06,3.0,17259.781039311947,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
348,Ketchikan Gateway Borough,4000,0.09,0.0,24008.560524591947,6033.012519772122,6764.4603857428865,348.18645484949826,0.0,1.0
349,Ketchikan Gateway Borough,4000,0.09,1.5,22384.388974466354,5663.470662905818,6350.114941662754,346.2303511705685,0.0,1.0
350,Ketchikan Gateway Borough,4000,0.09,3.0,20913.348213655634,5313.845490030463,5958.100898260242,338.40593645484944,0.0,1.0
351,Kodiak Island Borough,0,0.03,0.0,11361.98529384028,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
352,Kodiak Island Borough,0,0.03,1.5,10339.287168758552,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
353,Kodiak Island Borough,0,0.03,3.0,9272.180206336945,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
354,Kodiak Island Borough,0,0.06,0.0,14543.997664525208,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
355,Kodiak Island Borough,0,0.06,1.5,13314.27733501791,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
356,Kodiak Island Borough,0,0.06,3.0,12031.158599131148,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
357,Kodiak Island Borough,0,0.09,0.0,18545.039592918023,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
358,Kodiak Island Borough,0,0.09,1.5,17055.010872517592,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
359,Kodiak Island Borough,0,0.09,3.0,15500.280319334674,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
360,Kodiak Island Borough,2000,0.03,0.0,13258.870351704267,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
361,Kodiak Island Borough,2000,0.03,1.5,12236.172226622539,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
362,Kodiak Island Borough,2000,0.03,3.0,11169.065264200928,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
363,Kodiak Island Borough,2000,0.06,0.0,16440.882722389197,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
364,Kodiak Island Borough,2000,0.06,1.5,15211.162392881897,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
365,Kodiak Island Borough,2000,0.06,3.0,13928.043656995133,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
366,Kodiak Island Borough,2000,0.09,0.0,20441.924650782006,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
367,Kodiak Island Borough,2000,0.09,1.5,18951.895930381583,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
368,Kodiak Island Borough,2000,0.09,3.0,17397.165377198664,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
369,Kodiak Island Borough,4000,0.03,0.0,15155.755409568254,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
370,Kodiak Island Borough,4000,0.03,1.5,14133.057284486531,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
371,Kodiak Island Borough,4000,0.03,3.0,13065.950322064915,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
372,Kodiak Island Borough,4000,0.06,0.0,18337.767780253187,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
373,Kodiak Island Borough,4000,0.06,1.5,17108.047450745886,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
374,Kodiak Island Borough,4000,0.06,3.0,15824.92871485912,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
375,Kodiak Island Borough,4000,0.09,0.0,22338.809708645993,4071.838686712061,4565.51207263854,344.2846380023136,0.0,1.0
376,Kodiak Island Borough,4000,0.09,1.5,20848.78098824557,3855.1857979860233,4322.591992754568,343.3361954733817,0.0,1.0
377,Kodiak Island Borough,4000,0.09,3.0,19294.050435062647,3617.1836582815613,4055.734259495018,342.38775294444963,0.0,1.0
378,Lake and Peninsula Borough,0,0.03,0.0,-10137.19183817494,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
379,Lake and Peninsula Borough,0,0.03,1.5,-9739.355591708947,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
380,Lake and Peninsula Borough,0,0.03,3.0,-9328.470914138159,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
381,Lake and Peninsula Borough,0,0.06,0.0,-11110.164142362817,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
382,Lake and Peninsula Borough,0,0.06,1.5,-10631.794907008043,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
383,Lake and Peninsula Borough,0,0.06,3.0,-10137.735879519878,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
384,Lake and Peninsula Borough,0,0.09,0.0,-12333.573271781981,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
385,Lake and Peninsula Borough,0,0.09,1.5,-11753.942373169299,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
386,Lake and Peninsula Borough,0,0.09,3.0,-11155.300452021726,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
387,Lake and Peninsula Borough,2000,0.03,0.0,-8152.616002699364,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
388,Lake and Peninsula Borough,2000,0.03,1.5,-7754.77975623337,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
389,Lake and Peninsula Borough,2000,0.03,3.0,-7343.895078662583,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
390,Lake and Peninsula Borough,2000,0.06,0.0,-9125.588306887237,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
391,Lake and Peninsula Borough,2000,0.06,1.5,-8647.219071532465,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
392,Lake and Peninsula Borough,2000,0.06,3.0,-8153.160044044299,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
393,Lake and Peninsula Borough,2000,0.09,0.0,-10348.997436306403,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
394,Lake and Peninsula Borough,2000,0.09,1.5,-9769.366537693717,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
395,Lake and Peninsula Borough,2000,0.09,3.0,-9170.72461654615,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
396,Lake and Peninsula Borough,4000,0.03,0.0,-6168.040167223785,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
397,Lake and Peninsula Borough,4000,0.03,1.5,-5770.203920757792,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
398,Lake and Peninsula Borough,4000,0.03,3.0,-5359.319243187003,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
399,Lake and Peninsula Borough,4000,0.06,0.0,-7141.012471411661,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
400,Lake and Peninsula Borough,4000,0.06,1.5,-6662.643236056887,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
401,Lake and Peninsula Borough,4000,0.06,3.0,-6168.58420856872,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
402,Lake and Peninsula Borough,4000,0.09,0.0,-8364.421600830823,1450.5382194423232,1626.4027782581556,351.09052619348466,10.726426832043147,0.9703539960127674
403,Lake and Peninsula Borough,4000,0.09,1.5,-7784.790702218139,1410.001251342057,1580.9510716731459,350.2888472542954,8.551242018019064,0.976169769561255
404,Lake and Peninsula Borough,4000,0.09,3.0,-7186.14878107057,1361.3426578660906,1526.3930665446278,351.509118460101,7.0469260598666725,0.9803463749459278
405,Matanuska-Susitna Borough,0,0.03,0.0,-2678.7493034469526,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
406,Matanuska-Susitna Borough,0,0.03,1.5,-2596.4371243150126,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
407,Matanuska-Susitna Borough,0,0.03,3.0,-2533.7941626297766,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
408,Matanuska-Susitna Borough,0,0.06,0.0,-2610.156260075214,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
409,Matanuska-Susitna Borough,0,0.06,1.5,-2511.1818339350416,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
410,Matanuska-Susitna Borough,0,0.06,3.0,-2435.8582153660477,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
411,Matanuska-Susitna Borough,0,0.09,0.0,-2523.907807663535,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
412,Matanuska-Susitna Borough,0,0.09,1.5,-2403.982379096298,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
413,Matanuska-Susitna Borough,0,0.09,3.0,-2312.7141839634614,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
414,Matanuska-Susitna Borough,2000,0.03,0.0,-1171.831659438804,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
415,Matanuska-Susitna Borough,2000,0.03,1.5,-1089.5194803068644,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
416,Matanuska-Susitna Borough,2000,0.03,3.0,-1026.8765186216292,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
417,Matanuska-Susitna Borough,2000,0.06,0.0,-1103.2386160670662,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
418,Matanuska-Susitna Borough,2000,0.06,1.5,-1004.2641899268933,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
419,Matanuska-Susitna Borough,2000,0.06,3.0,-928.9405713579004,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
420,Matanuska-Susitna Borough,2000,0.09,0.0,-1016.9901636553859,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
421,Matanuska-Susitna Borough,2000,0.09,1.5,-897.0647350881504,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
422,Matanuska-Susitna Borough,2000,0.09,3.0,-805.796539955313,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
423,Matanuska-Susitna Borough,4000,0.03,0.0,335.0859845693425,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
424,Matanuska-Susitna Borough,4000,0.03,1.5,417.3981637012831,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
425,Matanuska-Susitna Borough,4000,0.03,3.0,480.04112538651833,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
426,Matanuska-Susitna Borough,4000,0.06,0.0,403.679027941081,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
427,Matanuska-Susitna Borough,4000,0.06,1.5,502.65345408125324,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
428,Matanuska-Susitna Borough,4000,0.06,3.0,577.9770726502466,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
429,Matanuska-Susitna Borough,4000,0.09,0.0,489.92748035276145,756.2814497925484,847.9736932134075,268.0913053776425,4.888388452772606,0.9820924832020309
430,Matanuska-Susitna Borough,4000,0.09,1.5,609.8529089199989,780.7799404521297,875.4424029225482,267.72840129739427,4.664438305243392,0.9828760612355016
431,Matanuska-Susitna Borough,4000,0.09,3.0,701.1211040528344,790.321811330192,886.1411388109599,263.62428148840814,3.4594290707696955,0.987047397748343
432,Nome Census Area,0,0.03,0.0,-979.7570375195024,1320.6596013802537,1480.7775596867405,319.42825821828103,42.84070722754934,0.8817433693917807
433,Nome Census Area,0,0.03,1.5,-873.475742824852,1319.11260106401,1479.0429996602757,322.1327701636521,39.52325753622869,0.890715888830624
434,Nome Census Area,0,0.03,3.0,-894.4237700951697,1313.2656867054811,1472.487200144283,327.6352518889249,34.02077581095578,0.9059305715783954
435,Nome Census Area,0,0.06,0.0,-57.57425307848166,1320.6596013802537,1480.7775596867405,319.42825821828103,42.84070722754934,0.8817433693917807
436,Nome Census Area,0,0.06,1.5,70.22129628944549,1319.11260106401,1479.0429996602757,322.1327701636521,39.52325753622869,0.890715888830624
437,Nome Census Area,0,0.06,3.0,45.032812644454566,1313.2656867054811,1472.487200144283,327.6352518889249,34.02077581095578,0.9059305715783954
438,Nome Census Area,0,0.09,0.0,1101.9724602475728,1320.6596013802537,1480.7775596867405,319.42825821828103,42.84070722754934,0.8817433693917807
