BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
1129,020700001001129,102.0,,,,272.0508448282877,275.8230041503906,268.5929489135742
1210,020700001001210,102.0,,,,270.60976409912104,274.0121078491211,267.6037826538086
1019,020700002001019,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1169,020700001001169,102.0,,,,272.2654930661237,276.21987318758624,268.9327247338206
1055,020700001001055,102.0,,,,271.33644053141273,274.78443298339846,268.337174987793
1245,020700001001245,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1001,020700002001001,103.0,,,,271.90222651163737,275.93690338134763,268.2708023071289
1018,020700002001018,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1251,020700001001251,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1015,020700002001015,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1227,020700001001227,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1223,020700001001223,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1022,020700002001022,103.0,,,,272.135085153219,276.3511200925244,268.38498205142895
1021,020700002001021,103.0,,,,272.1611050923666,276.39693450927734,268.3998199462891
1248,020700001001248,103.0,,,,270.44678217569987,274.2145629882813,267.2409378051758
1079,020700001001079,103.0,,,,269.63216654649983,273.3179277093706,266.51599706763136
1226,020700001001226,103.0,,,,272.3142789204915,276.52778778076174,268.75797271728516
1232,020700001001232,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1240,020700001001240,103.0,,,,272.10729649861656,276.03961791992185,268.8653030395508
1010,020700002001010,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1033,020700002001033,103.0,,,,272.15419165218583,276.4214941630645,268.3756254757152
1178,020700001001178,103.0,,,,272.6919075012207,276.6217666625977,269.2261764526367
1092,020700001001092,103.0,,,,270.5950406392416,274.4837951660156,267.2441604614258
1136,020700001001136,103.0,,,,271.1415819803874,274.60982208251954,267.93631134033205
1211,020700001001211,103.0,,,,271.32224604288734,275.186572265625,267.7638397216797
1011,020700002001011,103.0,,,,272.11018869824204,276.30625468350354,268.37463605950245
1024,020700002001024,103.0,,,,272.1980110168457,276.46392211914065,268.40440521240237
1131,020700001001131,103.0,,,,271.1576460081743,274.82658739353263,267.75070112897686
1038,020700002001038,103.0,,,,271.90222651163737,275.93690338134763,268.2708023071289
